1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"[('HKFC E', 'Recreio A'), 'HKFC']","[('KNS B', 'HKFC E'), 'HKFC']","[('DBS A', 'Scorpion A'), 'BS']","[('Recreio A', 'Scorpion A'), 'BS']","[('Dragons A', 'Elite A'), 'BS']","[('HKFC E', 'RHOBA A'), 'HKFC']","[('Recreio A', 'HKCC B'), 'BS']","[('HKFC E', 'DBS A'), 'HKFC']","[('HKFC E', 'Elite A'), 'HKFC']","[('Dragons A', 'HKCC B'), 'BS']","[('HKFC E', 'Scorpion A'), 'HKFC']","[('RHOBA A', 'HKCC B'), 'BS']","[('Dragons A', 'RHOBA A'), 'BS']","[('Scorpion A', 'DBS A'), 'BS']","[('Elite A', 'HKCC B'), 'BS']","[('Pak Assn B', 'RHOBA A'), 'BS']","[('Valley C', 'Dragons A'), 'BS']","[('HKFC E', 'Pak Assn B'), 'HKFC']","[('Scorpion A', 'Sirius A'), 'BS']","[('Dragons A', 'KNS B'), 'BS']","[('Pak Assn B', 'Scorpion A'), 'BS']","[('Dragons A', 'DBS A'), 'KP']"
"[('DBS A', 'Valley C'), 'BS']","[('RHOBA A', 'Dragons A'), 'BS']","[('HKCC B', 'HKFC E'), 'HKFC']","[('HKFC E', 'Dragons A'), 'HKFC']","[('DBS A', 'Recreio A'), 'LF']","[('Dragons A', 'Valley C'), 'BS']","[('Pak Assn B', 'HKFC E'), 'HKFC']","[('Dragons A', 'Recreio A'), 'BS']","[('KNS B', 'Dragons A'), 'BS']","[('Sirius A', 'KNS B'), 'LF']","[('Pak Assn B', 'Recreio A'), 'BS']","[('Scorpion A', 'Elite A'), 'LF']","[('Valley C', 'Scorpion A'), 'LF']","[('RHOBA A', 'Sirius A'), 'LF']","[('Scorpion A', 'Recreio A'), 'LF']","[('HKCC B', 'Valley C'), 'LF']","[('Scorpion A', 'HKCC B'), 'LF']","[('HKCC B', 'Recreio A'), 'BS']","[('DBS A', 'HKFC E'), 'HKFC']","[('Scorpion A', 'RHOBA A'), 'LF']","[('DBS A', 'Elite A'), 'LF']","[('Valley C', 'Elite A'), 'BS']"
"[('Dragons A', 'Sirius A'), 'LF']","[('Pak Assn B', 'HKCC B'), 'LF']","[('Elite A', 'KNS B'), 'LF']","[('Pak Assn B', 'Sirius A'), 'LF']","[('RHOBA A', 'Pak Assn B'), 'HV']","[('HKCC B', 'Scorpion A'), 'LF']","[('Sirius A', 'Valley C'), 'LF']","[('Sirius A', 'Scorpion A'), 'LF']","[('Pak Assn B', 'Valley C'), 'LF']","[('Valley C', 'HKFC E'), 'HKFC']","[('DBS A', 'Dragons A'), 'LF']","[('Valley C', 'DBS A'), 'HV']","[('HKFC E', 'KNS B'), 'HKFC']","[('Pak Assn B', 'Dragons A'), 'HV']","[('Sirius A', 'Pak Assn B'), 'HV']","[('HKFC E', 'Sirius A'), 'HKFC']","[('DBS A', 'Pak Assn B'), 'HV']","[('KNS B', 'DBS A'), 'LF']","[('Pak Assn B', 'Elite A'), 'LF']","[('HKCC B', 'DBS A'), 'HV']","[('HKCC B', 'Dragons A'), 'HV']","[('Sirius A', 'HKCC B'), 'LF']"
"[('Elite A', 'Scorpion A'), 'HV']","[('Sirius A', 'DBS A'), 'HV']","[('Dragons A', 'Pak Assn B'), 'HV']","[('HKCC B', 'Elite A'), 'HV']","[('Sirius A', 'HKFC E'), 'HKFC']","[('KNS B', 'Recreio A'), 'HV']","[('Scorpion A', 'Dragons A'), 'HV']","[('HKCC B', 'KNS B'), 'HV']","[('DBS A', 'HKCC B'), 'HV']","[('RHOBA A', 'Recreio A'), 'HV']","[('Elite A', 'Valley C'), 'HV']","[('Pak Assn B', 'KNS B'), 'HV']","[('DBS A', 'Sirius A'), 'HV']","[('HKFC E', 'HKCC B'), 'HKFC']","[('Valley C', 'KNS B'), 'HV']","[('KNS B', 'Scorpion A'), 'HV']","[('Sirius A', 'Elite A'), 'HV']","[('Valley C', 'Sirius A'), 'HV']","[('KNS B', 'HKCC B'), 'HV']","[('Sirius A', 'Recreio A'), 'HV']","[('HKFC E', 'Valley C'), 'HKFC']","[('Recreio A', 'Pak Assn B'), 'HV']"
"[('KNS B', 'Pak Assn B'), 'HV']","[('Scorpion A', 'Valley C'), 'HV']","[('Valley C', 'Recreio A'), 'HV']","[('RHOBA A', 'DBS A'), 'HV']","[('Scorpion A', 'KNS B'), 'HV']","[('Pak Assn B', 'DBS A'), 'HV']","[('DBS A', 'KNS B'), 'HV']","[('Valley C', 'RHOBA A'), 'HV']","[('Recreio A', 'Sirius A'), 'HV']","[('Scorpion A', 'Pak Assn B'), 'HV']","[('HKCC B', 'Sirius A'), 'HV']","[('Recreio A', 'HKFC E'), 'HKFC']","[('HKCC B', 'Pak Assn B'), 'HV']","[('Recreio A', 'Valley C'), 'HV']","[('Dragons A', 'HKFC E'), 'HKFC']","[('Elite A', 'Dragons A'), 'HV']","[('RHOBA A', 'HKFC E'), 'HKFC']","[('Dragons A', 'Scorpion A'), 'HV']","[('Recreio A', 'Dragons A'), 'HV']","[('Elite A', 'HKFC E'), 'HKFC']","[('KNS B', 'Sirius A'), 'HV']","[('RHOBA A', 'KNS B'), 'HV']"
"[('Khalsa C', 'Recreio B'), 'KP']","[('NBC B', 'Khalsa C'), 'KP']","[('Valley D', 'Recreio B'), 'KP']","[('KCC C', 'IUHK A'), 'KP']","[('Valley D', 'KCC C'), 'KP']","[('KCC C', 'Shaheen B'), 'KP']","[('Aquila B', 'NBC B'), 'KP']","[('KCC C', 'NBC B'), 'KP']","[('Khalsa C', 'IUHK A'), 'KP']","[('Shaheen B', 'Police A'), 'KP']","[('Khalsa C', 'Shaheen B'), 'KP']","[('SSSC C', 'HKFC F'), 'HKFC']","[('KCC C', 'Police A'), 'KP']","[('Shaheen B', 'Aquila B'), 'KP']","[('Shaheen B', 'Recreio B'), 'KP']","[('Police A', 'RHOBA B'), 'KP']","[('Shaheen B', 'KCC C'), 'KP']","[('KCC C', 'Recreio B'), 'KP']","[('NBC B', 'KCC C'), 'KP']","[('KCC C', 'Aquila B'), 'KP']","[('Khalsa C', 'Valley D'), 'KP']","[('Valley D', 'IUHK A'), 'KP']"
"[('KCC C', 'RHOBA B'), 'BS']","[('RHOBA B', 'HKFC F'), 'HKFC']","[('KCC C', 'Khalsa C'), 'BS']","[('Khalsa C', 'HKFC F'), 'HKFC']","[('SSSC C', 'Khalsa C'), 'BS']","[('Police A', 'Aquila B'), 'BS']","[('Police A', 'Khalsa C'), 'BS']","[('HKFC F', 'Recreio B'), 'HKFC']","[('Recreio B', 'SSSC C'), 'BS']","[('SSSC C', 'NBC B'), 'BS']","[('Aquila B', 'HKFC F'), 'HKFC']","[('RHOBA B', 'KCC C'), 'KP']","[('Aquila B', 'SSSC C'), 'BS']","[('NBC B', 'IUHK A'), 'BS']","[('Valley D', 'NBC B'), 'BS']","[('Recreio B', 'Aquila B'), 'BS']","[('Valley D', 'HKFC F'), 'HKFC']","[('HKFC F', 'Shaheen B'), 'HKFC']","[('Police A', 'IUHK A'), 'BS']","[('HKFC F', 'NBC B'), 'HKFC']","[('KCC C', 'HKFC F'), 'HKFC']","[('SSSC C', 'KCC C'), 'BS']"
"[('NBC B', 'Police A'), 'LF']","[('SSSC C', 'Aquila B'), 'BS']","[('Aquila B', 'Shaheen B'), 'LF']","[('NBC B', 'Valley D'), 'BS']","[('Aquila B', 'Recreio B'), 'LF']","[('HKFC F', 'Valley D'), 'HKFC']","[('SSSC C', 'Valley D'), 'LF']","[('SSSC C', 'Shaheen B'), 'BS']","[('RHOBA B', 'Shaheen B'), 'LF']","[('HKFC F', 'KCC C'), 'HKFC']","[('NBC B', 'RHOBA B'), 'BS']","[('Police A', 'NBC B'), 'BS']","[('Khalsa C', 'NBC B'), 'LF']","[('Recreio B', 'Valley D'), 'LF']","[('IUHK A', 'KCC C'), 'LF']","[('Khalsa C', 'SSSC C'), 'LF']","[('Aquila B', 'Police A'), 'BS']","[('Valley D', 'SSSC C'), 'BS']","[('Aquila B', 'Khalsa C'), 'LF']","[('IUHK A', 'Khalsa C'), 'BS']","[('Recreio B', 'RHOBA B'), 'BS']","[('Shaheen B', 'Khalsa C'), 'LF']"
"[('HKFC F', 'SSSC C'), 'HKFC']","[('Recreio B', 'IUHK A'), 'LF']","[('IUHK A', 'NBC B'), 'HV']","[('RHOBA B', 'Aquila B'), 'LF']","[('Shaheen B', 'NBC B'), 'HV']","[('Khalsa C', 'RHOBA B'), 'LF']","[('Recreio B', 'KCC C'), 'HV']","[('Valley D', 'RHOBA B'), 'LF']","[('Police A', 'Valley D'), 'HV']","[('RHOBA B', 'Recreio B'), 'LF']","[('KCC C', 'SSSC C'), 'LF']","[('Recreio B', 'Khalsa C'), 'LF']","[('IUHK A', 'Recreio B'), 'HV']","[('RHOBA B', 'SSSC C'), 'HV']","[('HKFC F', 'Khalsa C'), 'HKFC']","[('NBC B', 'Shaheen B'), 'HV']","[('SSSC C', 'IUHK A'), 'LF']","[('IUHK A', 'RHOBA B'), 'LF']","[('Shaheen B', 'SSSC C'), 'HV']","[('SSSC C', 'Recreio B'), 'LF']","[('NBC B', 'SSSC C'), 'LF']","[('RHOBA B', 'NBC B'), 'HV']"
"[('IUHK A', 'Shaheen B'), 'HV']","[('Police A', 'KCC C'), 'HV']","[('HKFC F', 'Police A'), 'HKFC']","[('Recreio B', 'Shaheen B'), 'HV']","[('HKFC F', 'IUHK A'), 'HKFC']","[('IUHK A', 'SSSC C'), 'HV']","[('RHOBA B', 'IUHK A'), 'HV']","[('Khalsa C', 'Aquila B'), 'HV']","[('Aquila B', 'KCC C'), 'HV']","[('Valley D', 'Khalsa C'), 'HV']","[('IUHK A', 'Valley D'), 'HV']","[('Shaheen B', 'IUHK A'), 'HV']","[('Valley D', 'Shaheen B'), 'HV']","[('Khalsa C', 'KCC C'), 'HV']","[('Aquila B', 'RHOBA B'), 'HV']","[('KCC C', 'Valley D'), 'HV']","[('Recreio B', 'NBC B'), 'HV']","[('Khalsa C', 'Police A'), 'HV']","[('RHOBA B', 'Valley D'), 'HV']","[('Valley D', 'Police A'), 'HV']","[('Aquila B', 'IUHK A'), 'HV']","[('HKFC F', 'Aquila B'), 'HKFC']"
